candidate_id,rank,score,reasoning
CAND_0091909,17,72.746,Strong JD fit: Machine Learning Engineer at Rephrase.ai with 6.9 years of experience showing direct learning-to-rank/reranking evidence. Also has retrieval/search evidence: sentence-transformer embeddings for cold starts; Review caveat: cross-encoder and handcrafted score strongly disagree; raw evidence needs manual review.
CAND_0018549,18,72.153,"Strong JD fit: Recommendation Systems Engineer at Uber with 6.8 years of experience showing clear retrieval/search evidence: sentence-transformer embeddings for cold starts. Current/recent role evidence spans retrieval, ranking, evaluation, and product shipping; Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0005260,19,70.676,"Strong JD fit: Senior NLP Engineer at Netflix with 5.2 years of experience showing direct learning-to-rank/reranking evidence. The extracted career evidence supports recruiter-side matching, retrieval infrastructure, re-ranking, and evaluation; Skill-duration metadata has 1 overclaim signal(s), so duration claims are not used in this explanation."
CAND_0050454,20,70.614,Strong JD fit: AI Engineer at Rephrase.ai with 6.8 years of experience showing clear ranking evaluation evidence: BM25 retrieval validated through human relevance judgments. Also has retrieval/search evidence: upgraded to bge-base with FAISS for fast nearest-neighbor retrieval; Caveat: 2 career roles share an identical description (deduplicated for semantic scoring).
CAND_0055905,21,70.408,"Strong JD fit: Senior Machine Learning Engineer at Flipkart with 8.1 years of experience showing direct learning-to-rank/reranking evidence. The extracted career evidence supports recruiter-side matching, retrieval infrastructure, re-ranking, and evaluation; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0008425,22,69.927,"Strong JD fit: Senior NLP Engineer at Ola with 7.8 years of experience showing clear learning-to-rank/reranking evidence: retrieval architecture, learning-to-rank, behavioral-signal integration. Adds retrieval/search support: fine-tuned BGE-large -> Pinecone retrieval -> learning-to-rank re-scoring; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0044222,23,69.901,"Strong JD fit: AI Engineer at PolicyBazaar with 7.7 years of experience showing ranking-evaluation evidence, including BM25 retrieval validated through human relevance judgments. Adds retrieval/search support: upgraded to bge-base with FAISS for fast nearest-neighbor retrieval; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0041669,24,66.598,"Strong JD fit: Recommendation Systems Engineer at CRED with 8.0 years of experience showing LLM/RAG integration evidence, including shipped a RAG-based feature and owned evaluation work. Current/recent role evidence spans retrieval, ranking, evaluation, and product shipping; Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0094759,25,64.868,"Strong JD fit: Lead AI Engineer at Meta with 8.6 years of experience showing direct learning-to-rank/reranking evidence. JD coverage spans matching workflow, retrieval infrastructure, ranking decisions, and evaluation; Caveat: career history has 2 career roles with copy-pasted descriptions (deduplicated before scoring)."
CAND_0083879,26,63.882,"Solid JD-aligned profile: Machine Learning Engineer at Ola with 7.1 years of experience showing direct learning-to-rank/reranking evidence. Adds retrieval/search support: sentence-transformers, FAISS; Review caveat: cross-encoder and handcrafted score strongly disagree; raw evidence needs manual review."
CAND_0007411,27,63.23,"Solid JD-aligned profile: Senior Machine Learning Engineer at Amazon with 8.0 years of experience showing clear retrieval/search evidence: fine-tuned BGE-large -> Pinecone retrieval -> learning-to-rank re-scoring. Current/recent role evidence spans retrieval, ranking, evaluation, and product shipping; Caveat: cross-encoder score is saturated at the ceiling; treat it as a sanity-check case, not automatic proof of fit."
CAND_0051292,28,63.103,"Solid JD-aligned profile: Applied ML Engineer at Freshworks with 5.2 years of experience showing clear ranking evaluation evidence: BM25 retrieval validated through human relevance judgments. Recent career evidence connects the JD's retrieval, matching, evaluation, and recruiter-product needs; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0027691,29,62.727,"Solid JD-aligned profile: NLP Engineer at Haptik with 6.5 years of experience showing clear retrieval/search evidence: upgraded to bge-base with FAISS for fast nearest-neighbor retrieval. Also has ranking evaluation evidence: BM25 retrieval validated through human relevance judgments; Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0030031,30,61.707,Solid JD-aligned profile: AI Engineer at Microsoft with 5.7 years of experience showing direct learning-to-rank/reranking evidence. The profile also has retrieval/search evidence: sentence-transformer embeddings for cold starts; Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0031593,31,61.279,"Solid JD-aligned profile: Search Engineer at Genpact AI with 7.8 years of experience showing clear retrieval/search evidence: RAG pipeline using OpenAI embeddings and Pinecone-backed retrieval. The recent profile evidence supports the full Redrob intelligence-layer mandate, not just keyword AI fit; Review caveat: cross-encoder and handcrafted score strongly disagree; raw evidence needs manual review."
CAND_0068351,32,61.04,"Solid JD-aligned profile: Lead AI Engineer at Sarvam AI with 6.4 years of experience showing clear retrieval/search evidence: ranking and retrieval systems that decide what to show. Also has ranking evaluation evidence: optimizing offline metrics that didn't move online numbers; GitHub activity is missing/sentinel-valued, so social-proof confidence should not rely on it."
CAND_0075574,33,60.242,"Solid JD-aligned profile: Machine Learning Engineer at Haptik with 5.7 years of experience showing direct learning-to-rank/reranking evidence. The recent profile evidence supports the full Redrob intelligence-layer mandate, not just keyword AI fit; Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0017960,34,59.662,"Solid JD-aligned profile: Recommendation Systems Engineer at Nykaa with 7.7 years of experience showing direct learning-to-rank/reranking evidence. The profile also has retrieval/search evidence: RAG pipeline using OpenAI embeddings and Pinecone-backed retrieval; Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0050876,35,59.643,"Solid JD-aligned profile: Applied ML Engineer at Freshworks with 6.0 years of experience showing clear retrieval/search evidence: sentence-transformer embeddings for cold starts. Recent career evidence connects the JD's retrieval, matching, evaluation, and recruiter-product needs; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0054394,36,58.695,"Solid JD-aligned profile: Recommendation Systems Engineer at PharmEasy with 4.1 years of experience showing clear ranking evaluation evidence: BM25 retrieval validated through human relevance judgments. This is a full-plan match: retrieval systems, ranking decisions, evaluation rigor, and shipped product work; Review caveat: cross-encoder and handcrafted score strongly disagree; raw evidence needs manual review."
CAND_0054123,37,58.6,"Solid JD-aligned profile: Applied ML Engineer at Meta with 4.7 years of experience showing clear Python engineering evidence: 500K documents, Used sentence-transformers all-MiniLM-L6-v2 initially, later. Also shows retrieval/search evidence: upgraded to bge-base with FAISS for fast nearest-neighbor retrieval; Review caveat: cross-encoder and handcrafted score strongly disagree; raw evidence needs manual review."
CAND_0069905,38,58.092,Solid JD-aligned profile: Applied ML Engineer at Sarvam AI with 6.6 years of experience showing clear LLM/RAG evidence: Implemented a RAG-based customer support chatbot. Also has retrieval/search evidence: upgraded to bge-base with FAISS for fast nearest-neighbor retrieval; Caveat: 90-day notice raises the hiring bar for this role.
CAND_0075249,39,57.92,"Solid JD-aligned profile: Applied ML Engineer at Zomato with 6.2 years of experience showing clear retrieval/search evidence: upgraded to bge-base with FAISS for fast nearest-neighbor retrieval. Adds ranking evaluation support: BM25 setup, validated through human relevance judgments; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0066999,40,57.579,"Solid JD-aligned profile: Recommendation Systems Engineer at Microsoft with 5.9 years of experience showing LLM/RAG integration evidence, including shipped a RAG-based feature and owned evaluation work. Recent evidence is relevant, but the profile is not a clean full-plan match; Compared with the top band, vector/hybrid-search evidence is less complete."
CAND_0093912,41,57.576,"Solid JD-aligned profile: Senior Data Scientist at Razorpay with 5.3 years of experience showing LLM/RAG integration evidence, including shipped a RAG-based feature and owned evaluation work. Current/recent role evidence spans retrieval, ranking, evaluation, and product shipping; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0018722,42,57.297,"Solid JD-aligned profile: Recommendation Systems Engineer at Saarthi.ai with 6.6 years of experience showing clear ranking evaluation evidence: BM25 retrieval validated through human relevance judgments. Recent career evidence connects the JD's retrieval, matching, evaluation, and recruiter-product needs; Skill-duration metadata has 1 overclaim signal(s), so duration claims are not used in this explanation."
CAND_0033861,43,56.917,"Solid JD-aligned profile: Senior NLP Engineer at Mad Street Den with 8.0 years of experience showing LLM/RAG integration evidence, including fine-tuning, hybrid retrieval architecture, learning-to-rank. Full-system signal is present across candidate discovery, hybrid retrieval, ranker iteration, and measurement; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0014440,44,56.654,"Solid JD-aligned profile: Recommendation Systems Engineer at CRED with 6.4 years of experience showing clear learning-to-rank/reranking evidence: learning-to-rank model over 9 months. Current/recent role evidence spans retrieval, ranking, evaluation, and product shipping; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0044855,45,56.265,"Solid JD-aligned profile: Senior Data Scientist at Flipkart with 6.6 years of experience showing clear retrieval/search evidence: upgraded to bge-base with FAISS for fast nearest-neighbor retrieval. Adds ranking evaluation support: BM25 setup, validated through human relevance judgments; Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0053695,46,56.223,"Solid JD-aligned profile: Recommendation Systems Engineer at Meesho with 5.8 years of experience showing direct learning-to-rank/reranking evidence. The profile also has retrieval/search evidence: Elasticsearch BM25 setup, validated through human relevance judgments; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0047721,47,56.105,Solid JD-aligned profile: Senior Data Scientist at Microsoft with 7.0 years of experience showing clear learning-to-rank/reranking evidence: learning-to-rank model over 9 months. Also has retrieval/search evidence: sentence-transformer embeddings for cold starts; Review caveat: cross-encoder and handcrafted score strongly disagree; raw evidence needs manual review.
CAND_0057563,48,55.651,"Solid JD-aligned profile: NLP Engineer at Locobuzz with 6.8 years of experience showing clear retrieval/search evidence: Elasticsearch BM25 setup, validated through human relevance judgments. Recent work maps to the JD's first-90-days arc: retrieval audit, v2 ranking, and evaluation infrastructure; Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0005649,49,55.604,"Solid JD-aligned profile: Senior Data Scientist at Sarvam AI with 7.4 years of experience showing direct learning-to-rank/reranking evidence. Also shows retrieval/search evidence: Elasticsearch BM25 setup, validated through human relevance judgments; Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0030953,50,55.483,"Solid JD-aligned profile: Search Engineer at Nykaa with 7.8 years of experience showing direct learning-to-rank/reranking evidence. Current/recent role evidence spans retrieval, ranking, evaluation, and product shipping; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0037980,51,55.448,"Relevant but partial JD fit: Senior Applied Scientist at Niramai with 9.0 years of experience showing direct learning-to-rank/reranking evidence. Also shows retrieval/search evidence: ranking and retrieval systems that decide what to show; The main caveat is logistics: the candidate is outside the preferred/welcome cities, but relocation is indicated."
CAND_0011432,52,55.329,Relevant but partial JD fit: Senior Data Scientist at Amazon with 7.6 years of experience showing direct learning-to-rank/reranking evidence. The profile also has retrieval/search evidence: RAG pipeline using OpenAI embeddings and Pinecone-backed retrieval; Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0026532,53,54.99,"Relevant but partial JD fit: Recommendation Systems Engineer at Zomato with 4.8 years of experience showing LLM/RAG integration evidence, including shipped a RAG-based feature and owned evaluation work. This is a full-plan match: retrieval systems, ranking decisions, evaluation rigor, and shipped product work; Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0005538,54,54.225,"Relevant but partial JD fit: Senior AI Engineer at Adobe with 5.9 years of experience showing direct learning-to-rank/reranking evidence. The profile also has retrieval/search evidence: TF-IDF + sentence-transformer embeddings, and a behavioral re-ranking layer; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0039383,55,54.041,"Relevant but partial JD fit: Applied ML Engineer at Meesho with 7.1 years of experience showing ranking-evaluation evidence, including BM25 retrieval validated through human relevance judgments. Also has retrieval/search evidence: Elasticsearch BM25 setup, validated through human relevance judgments; Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0095528,56,53.395,"Relevant but partial JD fit: Senior Data Scientist at Netflix with 5.3 years of experience showing clear retrieval/search evidence: sentence-transformer embeddings for cold starts. Also has ranking evaluation evidence: models without offline benchmarks they trust, My academic background is; Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0092278,57,52.528,"Relevant but partial JD fit: Senior NLP Engineer at Microsoft with 6.8 years of experience showing LLM/RAG integration evidence, including fine-tuning, hybrid retrieval architecture, learning-to-rank. The extracted career evidence supports recruiter-side matching, retrieval infrastructure, re-ranking, and evaluation; GitHub activity is missing/sentinel-valued, so social-proof confidence should not rely on it."
CAND_0078002,58,52.428,Relevant but partial JD fit: Machine Learning Engineer at Meta with 6.3 years of experience showing direct learning-to-rank/reranking evidence. The profile also has retrieval/search evidence: sentence-transformer embeddings for cold starts; Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0041610,59,52.25,"Relevant but partial JD fit: Recommendation Systems Engineer at Zoho with 6.7 years of experience showing clear retrieval/search evidence: RAG pipeline using OpenAI embeddings and Pinecone-backed retrieval. The recent profile evidence supports the full Redrob intelligence-layer mandate, not just keyword AI fit; Caveat: over half of measured career months are adjacent ML/chatbot/MLOps, so sustained IR ownership needs screening."
CAND_0030348,60,51.815,"Relevant but partial JD fit: Machine Learning Engineer at BYJU'S with 4.5 years of experience showing clear ranking evaluation evidence: BM25 retrieval validated through human relevance judgments. Also has retrieval/search evidence: upgraded to bge-base with FAISS for fast nearest-neighbor retrieval; Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0061265,61,51.738,Relevant but partial JD fit: Recommendation Systems Engineer at Zoho with 6.6 years of experience has relevant retrieval/search evidence: upgraded to bge-base with FAISS for fast nearest-neighbor retrieval. Caveat: 120-day notice is a major hiring-friction risk; keep only as a lower-band backup if technical fit is exceptional.
CAND_0008239,62,51.727,"Relevant but partial JD fit: AI Engineer at Apple with 4.0 years of experience has relevant learning-to-rank/reranking evidence: learning-to-rank model over 9 months. Skill-duration metadata has 2 overclaim signal(s), so duration claims are not used in this explanation."
CAND_0007009,63,51.651,"Relevant but partial JD fit: Recommendation Systems Engineer at Wysa with 7.9 years of experience has relevant LLM/RAG evidence: shipped a RAG-based feature and owned evaluation work. Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0010685,64,51.555,Relevant but partial JD fit: NLP Engineer at Rephrase.ai with 6.7 years of experience has relevant learning-to-rank/reranking evidence: Trained and shipped multiple ranking models for our product's discovery feed. Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0041611,65,51.534,"Relevant but partial JD fit: Staff Machine Learning Engineer at Locobuzz with 6.4 years of experience has relevant learning-to-rank/reranking evidence: reranking work. GitHub activity is missing/sentinel-valued, so social-proof confidence should not rely on it."
CAND_0011162,66,51.249,"Relevant but partial JD fit: Recommendation Systems Engineer at upGrad with 5.8 years of experience has relevant learning-to-rank/reranking evidence: Trained and shipped multiple ranking models for our product's discovery feed. Review caveat: semantic reranker score is lower than rulebook evidence, so the extracted retrieval/evaluation evidence should be verified in review."
CAND_0068932,67,51.155,"Relevant but partial JD fit: ML Engineer at Krutrim with 5.2 years of experience has relevant learning-to-rank/reranking evidence: Used a combination of collaborative filtering matrix factorization. Compared with stronger candidates, the profile has lighter evidence of rigorous ranking evaluation."
CAND_0076163,68,50.916,Relevant but partial JD fit: NLP Engineer at Ola with 6.9 years of experience has relevant LLM/RAG evidence: shipped a RAG-based feature and owned evaluation work. Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0015967,69,50.757,"Relevant but partial JD fit: Senior Software Engineer (ML) at Razorpay with 5.4 years of experience has relevant learning-to-rank/reranking evidence: of collaborative filtering (matrix factorization in implicit-feedback library). Compared with stronger candidates, the profile has lighter evidence of rigorous ranking evaluation."
CAND_0070202,70,50.702,Relevant but partial JD fit: Machine Learning Engineer at BYJU'S with 5.1 years of experience has relevant learning-to-rank/reranking evidence: learning-to-rank model over 9 months. Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0066376,71,50.487,"Relevant but partial JD fit: Applied ML Engineer at Dream11 with 5.7 years of experience has relevant ranking evaluation evidence: BM25 setup, validated through human relevance judgments. Review caveat: cross-encoder and handcrafted score strongly disagree; raw evidence needs manual review."
CAND_0005509,72,50.411,Relevant but partial JD fit: Data Scientist at Ola with 6.0 years of experience has relevant learning-to-rank/reranking evidence: Used a combination of collaborative filtering matrix factorization. Caveat: career history has 2 career roles with copy-pasted descriptions (deduplicated before scoring).
CAND_0061655,73,50.378,Relevant but partial JD fit: Machine Learning Engineer at Krutrim with 4.6 years of experience has relevant learning-to-rank/reranking evidence: learning-to-rank model over 9 months. Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0010257,74,50.349,Relevant but partial JD fit: Senior Data Scientist at Google with 6.5 years of experience has relevant learning-to-rank/reranking evidence: Trained and shipped multiple ranking models for our product's discovery feed. Caveat: 120-day notice is a major hiring-friction risk; keep only as a lower-band backup if technical fit is exceptional.
CAND_0052682,75,50.181,Relevant but partial JD fit: NLP Engineer at Aganitha with 6.6 years of experience has relevant retrieval/search evidence: RAG pipeline using OpenAI embeddings and Pinecone-backed retrieval. Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0086151,76,50.068,Borderline JD-adjacent fit: Recommendation Systems Engineer at Wysa with 7.7 years of experience has relevant learning-to-rank/reranking evidence: learning-to-rank model over 9 months. Caveat: 120-day notice is a major hiring-friction risk; keep only as a lower-band backup if technical fit is exceptional.
CAND_0036184,77,49.906,Borderline JD-adjacent fit: Recommendation Systems Engineer at CRED with 6.0 years of experience has relevant ranking evaluation evidence: BM25 retrieval validated through human relevance judgments. Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0043228,78,49.904,"Borderline JD-adjacent fit: Applied ML Engineer at Zoho with 6.8 years of experience has relevant retrieval/search evidence: Elasticsearch BM25 setup, validated through human relevance judgments. Caveat: location/no-relocation combination is a major hiring-friction risk for this role."
CAND_0098952,79,49.896,"Borderline JD-adjacent fit: AI Research Engineer at CRED with 5.5 years of experience has relevant learning-to-rank/reranking evidence: Used a combination of collaborative filtering matrix factorization. Compared with stronger candidates, the profile has lighter evidence of rigorous ranking evaluation."
CAND_0099401,80,49.854,Borderline JD-adjacent fit: NLP Engineer at Dream11 with 7.7 years of experience has relevant learning-to-rank/reranking evidence: learning-to-rank model over 9 months. Review caveat: cross-encoder and handcrafted score strongly disagree; raw evidence needs manual review.
CAND_0042506,81,49.226,"Borderline JD-adjacent fit: Search Engineer at Verloop.io with 4.2 years of experience has relevant Python engineering evidence: sentence-transformers, FAISS. Skill-duration metadata has 2 overclaim signal(s), so duration claims are not used in this explanation."
CAND_0098846,82,49.007,Borderline JD-adjacent fit: AI Engineer at upGrad with 7.6 years of experience has relevant retrieval/search evidence: RAG pipeline using OpenAI embeddings and Pinecone-backed retrieval. Caveat: core IR evidence appears isolated relative to the broader career pattern.
CAND_0061339,83,48.939,Borderline JD-adjacent fit: Search Engineer at Rephrase.ai with 4.2 years of experience has relevant learning-to-rank/reranking evidence: Trained and shipped multiple ranking models for our product's discovery feed. Review caveat: cross-encoder and handcrafted score strongly disagree; raw evidence needs manual review.
CAND_0058575,84,48.624,Borderline JD-adjacent fit: AI Engineer at Krutrim with 5.8 years of experience has relevant LLM/RAG evidence: shipped a RAG-based feature and owned evaluation work. Caveat: most measured career months are adjacent ML/chatbot/MLOps rather than sustained search or ranking ownership.
CAND_0093193,85,48.576,Borderline JD-adjacent fit: Senior Machine Learning Engineer at Niramai with 7.9 years of experience has relevant retrieval/search evidence: ranking and retrieval systems that decide what to show. Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0049538,86,48.327,Borderline JD-adjacent fit: Applied ML Engineer at Saarthi.ai with 5.8 years of experience has relevant learning-to-rank/reranking evidence: learning-to-rank model over 9 months. Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0044883,87,48.22,Borderline JD-adjacent fit: AI Engineer at Mad Street Den with 6.3 years of experience has relevant learning-to-rank/reranking evidence: Trained and shipped multiple ranking models for our product's discovery feed. Caveat: 90-day notice raises the hiring bar for this role.
CAND_0099806,88,47.824,"Borderline JD-adjacent fit: AI Engineer at Mad Street Den with 4.6 years of experience has relevant learning-to-rank/reranking evidence: Trained and shipped multiple ranking models for our product's discovery feed. Skill-duration metadata has 2 overclaim signal(s), so duration claims are not used in this explanation."
CAND_0043860,89,47.751,"Borderline JD-adjacent fit: Junior ML Engineer at Aganitha with 6.1 years of experience has relevant learning-to-rank/reranking evidence: Used a combination of collaborative filtering matrix factorization. GitHub activity is missing/sentinel-valued, so social-proof confidence should not rely on it."
CAND_0064270,90,47.675,Borderline JD-adjacent fit: Applied ML Engineer at Verloop.io with 4.2 years of experience has relevant learning-to-rank/reranking evidence: Trained and shipped multiple ranking models for our product's discovery feed. Review caveat: cross-encoder and handcrafted score strongly disagree; raw evidence needs manual review.
CAND_0009024,91,47.62,Borderline JD-adjacent fit: Search Engineer at Google with 5.2 years of experience has relevant retrieval/search evidence: sentence-transformer embeddings for cold starts. Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
CAND_0045250,92,47.615,Borderline JD-adjacent fit: Applied ML Engineer at Rephrase.ai with 6.6 years of experience has relevant learning-to-rank/reranking evidence: Trained and shipped multiple ranking models for our product's discovery feed. Caveat: core IR evidence appears isolated relative to the broader career pattern.
CAND_0077285,93,47.516,Borderline JD-adjacent fit: Recommendation Systems Engineer at Nykaa with 5.5 years of experience has relevant learning-to-rank/reranking evidence: Trained and shipped multiple ranking models for our product's discovery feed. Caveat: location/no-relocation combination is a major hiring-friction risk for this role.
