rank,candidate_id,title,company,score,honeypot_score,flags,flag_count,retr,eval,ltr,sys,reasoning
8,CAND_0005538,Senior AI Engineer,Adobe,67.949646,0.0,,0,3.0,0.0,3.0,1.0,"Senior AI Engineer at Adobe with 5.9 years of experience: Strong evidence in Retrieval Systems, specifically: 'sential parts: index refresh, query understanding, ranking calibration, and t...'. Also demonstrates capabilities in Learning-to-Rank and Reranking. Note: Located in Kolkata, West Bengal, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
9,CAND_0080766,Staff Machine Learning Engineer,Salesforce,67.474418,0.0,,0,2.0,2.0,3.0,1.0,"Staff Machine Learning Engineer at Salesforce with 8.8 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Shipped the personalization infrastructure: the system that learns from'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Coimbatore, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
10,CAND_0071974,Senior AI Engineer,Netflix,66.935731,0.0,,0,2.0,0.0,3.0,1.0,"Senior AI Engineer at Netflix with 7.8 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'uilt and shipped a production recommendation system at a marketplace product,...'. Also demonstrates capabilities in LLM Integration & RAG. Note: Located in Vizag, Andhra Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
11,CAND_0079387,AI Engineer,Microsoft,66.081047,0.0,,0,2.5,0.0,2.5,1.0,"AI Engineer at Microsoft with 6.9 years of experience: Profile-text evidence in Retrieval Systems: 'over the prior Elasticsearch BM25 setup, validated through human relevance ju...'. Also demonstrates capabilities in Learning-to-Rank and Reranking. Note: Located in Trivandrum, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
12,CAND_0041669,Recommendation Systems Engineer,CRED,64.517367,0.0,,0,2.5,2.0,2.0,0.5,"Recommendation Systems Engineer at CRED with 8.0 years of experience: Profile-text evidence in Retrieval Systems: 'OpenAI embeddings, storing in Pinecone) and the answer-generation layer (init...'. Also demonstrates capabilities in Vector Search Infrastructure."
13,CAND_0037980,Senior Applied Scientist,Niramai,61.549504,0.0,,0,1.0,2.0,3.0,1.0,"Senior Applied Scientist at Niramai with 9.0 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'oughly 14 months. Shipped the personalization infrastructure: the system that...'. Also demonstrates capabilities in Evaluation Metrics. Note: Located in Kolkata, West Bengal, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
14,CAND_0028793,Search Engineer,Google,60.224235,0.0,,0,2.5,0.0,3.0,1.0,"Search Engineer at Google with 7.2 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Trivandrum, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
15,CAND_0030468,Senior Applied Scientist,Swiggy,60.049291,0.0,,0,3.0,2.0,3.0,1.0,"Senior Applied Scientist at Swiggy with 5.4 years of experience: Strong evidence in Retrieval Systems, specifically: 'sential parts: index refresh, query understanding, ranking calibration, and t...'. Also demonstrates capabilities in Learning-to-Rank and Reranking. Note: Located in Indore, Madhya Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
16,CAND_0005649,Senior Data Scientist,Sarvam AI,59.657391,0.0,,0,2.0,0.0,3.0,1.0,"Senior Data Scientist at Sarvam AI with 7.4 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems."
17,CAND_0058575,AI Engineer,Krutrim,59.638076,0.0,,0,2.0,0.0,1.0,1.0,"AI Engineer at Krutrim with 5.8 years of experience: Profile-text evidence in Retrieval Systems: 'over the prior Elasticsearch BM25 setup, validated through human relevance ju...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Located in Chennai, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
18,CAND_0006567,Senior AI Engineer,Meta,59.598491,0.0,,0,1.0,2.0,3.0,1.0,"Senior AI Engineer at Meta with 7.9 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the hardest part. Shipped the personalization infrastructure: the system that...'. Also demonstrates capabilities in Evaluation Metrics."
19,CAND_0039383,Applied ML Engineer,Meesho,58.806283,0.0,,0,2.0,0.0,3.0,1.0,"Applied ML Engineer at Meesho with 7.1 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Python Engineering."
20,CAND_0000031,Recommendation Systems Engineer,Swiggy,57.54847,0.0,,0,1.0,2.0,3.0,1.0,"Recommendation Systems Engineer at Swiggy with 6.0 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Evaluation Metrics."
21,CAND_0064904,AI Engineer,LinkedIn,56.697194,0.0,,0,2.5,0.0,2.0,1.0,AI Engineer at LinkedIn with 4.9 years of experience: Profile-text evidence in Retrieval Systems: 'ity (via sentence-transformer embeddings) for cold starts and a gradient-boos...'. Also demonstrates capabilities in Vector Search Infrastructure.
23,CAND_0044883,AI Engineer,Mad Street Den,55.040727,0.0,,0,2.0,0.0,3.0,1.0,"AI Engineer at Mad Street Den with 6.3 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located outside India (Berlin) — case-by-case per JD."
24,CAND_0096142,Applied ML Engineer,upGrad,54.640284,0.0,,0,2.5,0.0,3.0,1.0,"Applied ML Engineer at upGrad with 5.0 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'eling itself. Built a content recommendation system serving 10M+ users that c...'. Also demonstrates capabilities in Retrieval Systems."
25,CAND_0052328,Recommendation Systems Engineer,Amazon,52.920792,0.0,,0,2.0,0.0,1.0,1.0,Recommendation Systems Engineer at Amazon with 6.5 years of experience: Profile-text evidence in LLM Integration & RAG: 'Implemented a RAG-based customer support chatbot integrated with our exist'. Also demonstrates capabilities in Retrieval Systems.
26,CAND_0070398,Machine Learning Engineer,Genpact AI,52.769823,0.0,,0,2.0,0.0,3.0,1.0,"Machine Learning Engineer at Genpact AI with 7.2 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Kochi, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
27,CAND_0033861,Senior NLP Engineer,Mad Street Den,52.716985,0.0,,0,2.5,2.0,3.0,1.0,"Senior NLP Engineer at Mad Street Den with 8.0 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'uilt and shipped a production recommendation system at a marketplace product,...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Vizag, Andhra Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
28,CAND_0088025,Staff Machine Learning Engineer,Yellow.ai,52.596683,0.0,,0,2.5,0.0,2.0,0.5,"Staff Machine Learning Engineer at Yellow.ai with 8.6 years of experience: Profile-text evidence in Retrieval Systems: 'Owned the end-to-end ranking pipeline at a recommendations-heavy consumer pro...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Located in Jaipur, Rajasthan, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
29,CAND_0042100,Machine Learning Engineer,Freshworks,52.46517,0.0,,0,1.0,2.0,3.0,1.0,"Machine Learning Engineer at Freshworks with 7.3 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Evaluation Metrics. Note: Located outside India (Singapore) — case-by-case per JD."
30,CAND_0051292,Applied ML Engineer,Freshworks,52.407986,0.0,,0,2.0,2.0,2.0,0.5,"Applied ML Engineer at Freshworks with 5.2 years of experience: Profile-text evidence in Retrieval Systems: 'over the prior Elasticsearch BM25 setup, validated through human relevance ju...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Located in Trivandrum, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
31,CAND_0032515,Machine Learning Engineer,PharmEasy,51.312757,0.0,,0,1.5,2.0,3.0,1.0,"Machine Learning Engineer at PharmEasy with 5.1 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Evaluation Metrics. Note: Located outside India (Seattle) — case-by-case per JD."
32,CAND_0030031,AI Engineer,Microsoft,50.616125,0.0,,0,2.0,0.0,3.0,1.0,"AI Engineer at Microsoft with 5.7 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Built a content recommendation system serving 10M+ users that combined colla'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Trivandrum, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
33,CAND_0084819,Search Engineer,Dream11,49.595232,0.0,,0,2.5,2.0,2.5,0.5,"Search Engineer at Dream11 with 4.5 years of experience: Profile-text evidence in Retrieval Systems: 'OpenAI embeddings, storing in Pinecone) and the answer-generation layer (init...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Located in Indore, Madhya Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
34,CAND_0010257,Senior Data Scientist,Google,49.553675,0.0,,0,2.5,0.0,3.0,1.0,"Senior Data Scientist at Google with 6.5 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'eling itself. Built a content recommendation system serving 10M+ users that c...'. Also demonstrates capabilities in Retrieval Systems."
35,CAND_0083879,Machine Learning Engineer,Ola,49.384763,0.0,,0,1.0,0.0,3.0,1.0,"Machine Learning Engineer at Ola with 7.1 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems."
36,CAND_0041610,Recommendation Systems Engineer,Zoho,49.369145,0.0,,0,2.0,2.0,2.0,1.0,"Recommendation Systems Engineer at Zoho with 6.7 years of experience: Profile-text evidence in Retrieval Systems: 'OpenAI embeddings, storing in Pinecone) and the answer-generation layer (init...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Frequent title changes noted across recent roles. Located in Indore, Madhya Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
37,CAND_0006418,Machine Learning Engineer,Verloop.io,49.268066,0.0,,0,1.5,0.0,3.0,1.0,"Machine Learning Engineer at Verloop.io with 5.7 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems."
38,CAND_0036863,Senior Data Scientist,upGrad,48.631865,0.0,,0,2.5,2.0,2.0,0.5,"Senior Data Scientist at upGrad with 4.3 years of experience: Profile-text evidence in Retrieval Systems: 'OpenAI embeddings, storing in Pinecone) and the answer-generation layer (init...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Located in Chennai, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
39,CAND_0069638,Computer Vision Engineer,Swiggy,48.521391,0.0,,0,1.0,0.0,2.0,1.0,"Computer Vision Engineer at Swiggy with 6.2 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Also demonstrates capabilities in Python Engineering. Note: Located in Chennai, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
40,CAND_0042506,Search Engineer,Verloop.io,48.379546,0.0,,0,2.0,0.0,2.0,0.5,"Search Engineer at Verloop.io with 4.2 years of experience: Profile-text evidence in Retrieval Systems: 'OpenAI embeddings, storing in Pinecone) and the answer-generation layer (init...'. Also demonstrates capabilities in Vector Search Infrastructure."
41,CAND_0007412,Applied ML Engineer,Zoho,48.119242,0.0,,0,2.0,2.0,3.0,1.0,"Applied ML Engineer at Zoho with 7.4 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems. Note: Frequent title changes noted across recent roles."
43,CAND_0046132,AI Research Engineer,Verloop.io,47.24587,0.0,,0,1.0,0.0,2.0,1.0,AI Research Engineer at Verloop.io with 4.3 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Also demonstrates capabilities in Retrieval Systems.
44,CAND_0068932,ML Engineer,Krutrim,46.978298,0.0,,0,1.0,0.0,2.0,1.0,ML Engineer at Krutrim with 5.2 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Also demonstrates capabilities in Retrieval Systems.
45,CAND_0096104,AI Specialist,Yellow.ai,46.917153,0.0,,0,1.0,0.0,2.0,1.0,AI Specialist at Yellow.ai with 7.0 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Also demonstrates capabilities in Retrieval Systems.
46,CAND_0060054,AI Engineer,Mad Street Den,46.916856,0.0,,0,2.0,0.0,3.0,1.0,"AI Engineer at Mad Street Den with 6.4 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'ce judgments. Built a content recommendation system serving 10M+ users that c...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Jaipur, Rajasthan, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
47,CAND_0083307,Search Engineer,CRED,46.889052,0.0,,0,2.0,2.0,2.0,0.5,"Search Engineer at CRED with 7.8 years of experience: Profile-text evidence in Retrieval Systems: 'over the prior Elasticsearch BM25 setup, validated through human relevance ju...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Located in Vizag, Andhra Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
48,CAND_0081053,NLP Engineer,Glance,46.490413,0.0,,0,2.0,0.0,2.0,1.0,"NLP Engineer at Glance with 5.4 years of experience: Profile-text evidence in Retrieval Systems: 'ity (via sentence-transformer embeddings) for cold starts and a gradient-boos...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Located in Chandigarh, Chandigarh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
49,CAND_0070525,Senior Software Engineer (ML),Mad Street Den,46.099498,0.0,,0,1.0,0.0,2.0,1.0,Senior Software Engineer (ML) at Mad Street Den with 5.4 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Also demonstrates capabilities in Python Engineering.
50,CAND_0069905,Applied ML Engineer,Sarvam AI,44.870591,0.0,,0,2.0,0.0,1.0,0.5,"Applied ML Engineer at Sarvam AI with 6.6 years of experience: Profile-text evidence in LLM Integration & RAG: 'ance judgments. Implemented a RAG-based customer support chatbot integrated w...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Bhubaneswar, Odisha, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
51,CAND_0077285,Recommendation Systems Engineer,Nykaa,44.634677,0.0,,0,2.0,0.0,3.0,1.0,"Recommendation Systems Engineer at Nykaa with 5.5 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Behavioral signals: 60-day notice (buyout possible). Note: Frequent title changes noted across recent roles. Located in Ahmedabad, Gujarat, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
52,CAND_0053605,Senior Software Engineer (ML),Verloop.io,44.102446,0.0,,0,1.5,0.0,2.0,1.0,Senior Software Engineer (ML) at Verloop.io with 6.9 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: strong recruiter response rate (88%); 30-day notice.
53,CAND_0060340,Computer Vision Engineer,Wysa,43.884156,0.0,,0,1.0,0.0,2.0,1.0,"Computer Vision Engineer at Wysa with 6.1 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 45-day notice (buyout possible). Note: Located in Coimbatore, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
54,CAND_0004402,AI Research Engineer,Yellow.ai,42.354103,0.0,,0,1.0,0.0,2.0,1.0,AI Research Engineer at Yellow.ai with 6.0 years of experience: Profile-text evidence in Python Engineering: 'mage moderation feature using PyTorch — fine-tuned ResNet variants on a label...'. Behavioral signals: strong recruiter response rate (83%); 60-day notice (buyout possible).
55,CAND_0015967,Senior Software Engineer (ML),Razorpay,42.212598,0.0,,0,1.0,0.0,2.0,1.0,Senior Software Engineer (ML) at Razorpay with 5.4 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 30-day notice. Note: Frequent title changes noted across recent roles.
56,CAND_0060257,AI Specialist,Paytm,42.186339,0.0,,0,1.0,0.0,2.0,1.0,AI Specialist at Paytm with 5.8 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 60-day notice (buyout possible).
57,CAND_0052682,NLP Engineer,Aganitha,42.182098,0.0,,0,2.0,0.0,2.0,0.5,"NLP Engineer at Aganitha with 6.6 years of experience: Profile-text evidence in Retrieval Systems: 'OpenAI embeddings, storing in Pinecone) and the answer-generation layer (init...'. Behavioral signals: strong recruiter response rate (88%); 30-day notice. Note: Located in Vizag, Andhra Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
58,CAND_0045862,AI Specialist,Yellow.ai,42.068951,0.0,,0,1.0,0.0,2.0,1.0,"AI Specialist at Yellow.ai with 6.7 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 90-day notice (significant barrier). Note: Located in Jaipur, Rajasthan, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
59,CAND_0095528,Senior Data Scientist,Netflix,41.997643,0.0,,0,2.5,0.0,2.0,1.0,"Senior Data Scientist at Netflix with 5.3 years of experience: Profile-text evidence in Retrieval Systems: 'ity (via sentence-transformer embeddings) for cold starts and a gradient-boos...'. Behavioral signals: 45-day notice (buyout possible). Note: Located in Indore, Madhya Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
60,CAND_0073883,AI Specialist,Krutrim,41.916379,0.0,,0,1.0,0.0,2.0,1.0,"AI Specialist at Krutrim with 5.3 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: strong recruiter response rate (92%); 90-day notice (significant barrier). Note: Located in Chandigarh, Chandigarh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
61,CAND_0060835,Senior Software Engineer (ML),Sarvam AI,41.707974,0.0,,0,1.5,0.0,2.0,1.0,"Senior Software Engineer (ML) at Sarvam AI with 6.6 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: low recruiter response rate (32%); 90-day notice (significant barrier). Note: Located in Bangalore, Karnataka, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
62,CAND_0014063,AI Specialist,Sarvam AI,41.632997,0.0,,0,1.0,0.0,2.0,1.0,"AI Specialist at Sarvam AI with 5.4 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 45-day notice (buyout possible). Note: Located in Vizag, Andhra Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
63,CAND_0025882,Senior Software Engineer (ML),Freshworks,41.472469,0.0,,0,1.0,0.0,2.0,1.0,"Senior Software Engineer (ML) at Freshworks with 5.6 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: strong recruiter response rate (79%); 45-day notice (buyout possible). Note: Located in Chennai, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
64,CAND_0008517,AI Research Engineer,Locobuzz,41.395639,0.0,,0,1.0,0.0,2.0,1.0,AI Research Engineer at Locobuzz with 5.6 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: strong recruiter response rate (80%); 120-day notice (significant barrier).
65,CAND_0005509,Data Scientist,Ola,41.22389,0.0,,0,1.0,0.0,2.0,1.0,Data Scientist at Ola with 6.0 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 30-day notice.
66,CAND_0037160,Data Scientist,Haptik,41.186023,0.0,,0,1.0,0.0,2.0,1.0,Data Scientist at Haptik with 6.0 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 30-day notice.
68,CAND_0021827,AI Research Engineer,Unacademy,41.069558,0.0,,0,1.0,0.0,2.0,1.0,"AI Research Engineer at Unacademy with 4.4 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: low recruiter response rate (36%); 90-day notice (significant barrier). Note: Located in Kochi, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
69,CAND_0063328,Computer Vision Engineer,Ola,41.044597,0.0,,0,1.0,0.0,2.0,1.0,Computer Vision Engineer at Ola with 4.6 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: low recruiter response rate (32%); 45-day notice (buyout possible).
70,CAND_0049217,Computer Vision Engineer,upGrad,41.028976,0.0,,0,1.5,0.0,2.0,1.0,Computer Vision Engineer at upGrad with 6.0 years of experience: Profile-text evidence in Python Engineering: 'der classes. Comfortable with PyTorch and Hugging Face but most of my trainin...'. Behavioral signals: strong recruiter response rate (87%); 90-day notice (significant barrier).
71,CAND_0061175,AI Research Engineer,Haptik,40.945658,0.0,,0,1.0,0.0,2.5,1.0,AI Research Engineer at Haptik with 6.7 years of experience: Profile-text evidence in Learning-to-Rank and Reranking: 'uction. Used a combination of collaborative filtering (matrix factorization i...'. Behavioral signals: 120-day notice (significant barrier). Note: No evidence of LLM Integration & RAG; overall evidence density is lower than top-tier candidates.
