rank,candidate_id,score,judge_tier,judge_note,title,company,yoe,location,open_to_work,last_active,response_rate,notice_days,willing_relocate,github,saved_30d,apps_30d,core_score,ce_score,rrf_score,retrieval_search,vector_db_hybrid,eval_framework,ltr_reranking,llm_integration,python_coding,sys_experience_score,product_ratio,experience_recency,depth_signal,ninety_day_alignment,wrong_domain,research_only,suspicious,honeypot_score,is_ghost,roles,current_description,relevant_skills,submission_reasoning
11,CAND_0079387,66.081047,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,AI Engineer,Microsoft,6.9,"Trivandrum, Kerala",True,2026-04-25,0.81,30,False,64.1,22,4,69.11,64.41,0.03360412783433256,2.5,2.0,0.0,2.5,2.0,2.5,1.0,1.0,1.0,1.0,0.6444,False,False,False,0.0,False,*AI Engineer @ Microsoft [22m] | NLP Engineer @ upGrad [22m] | Applied ML Engineer @ Ola [18m] | AI Engineer @ BYJU'S [19m],Built a content recommendation system serving 10M+ users that combined collaborative filtering with content-based ranking. The system uses item-item similarity (via sentence-transformer embeddings) for cold starts and a gradient-boosted model trained on engagement signals for warm users. Most of my time went into the feature pipeline (~200 features) and the A/B testing infrastructure. The launch improved 7-day retent,"Recommendation Systems(advanced,59m); Python(expert,51m); Vector Search(expert,83m); OpenSearch(expert,87m); QLoRA(expert,83m); LoRA(expert,85m); BM25(advanced,40m)","AI Engineer at Microsoft with 6.9 years of experience: Profile-text evidence in Retrieval Systems: 'over the prior Elasticsearch BM25 setup, validated through human relevance ju...'. Also demonstrates capabilities in Learning-to-Rank and Reranking. Note: Located in Trivandrum, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
12,CAND_0041669,64.517367,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Recommendation Systems Engineer,CRED,8.0,"Noida, Uttar Pradesh",True,2026-04-06,0.77,60,False,70.9,37,9,63.6,62.58,0.034452667936553105,2.5,2.5,2.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,0.9422,False,False,False,0.0,False,*Recommendation Systems Engineer @ CRED [37m] | Search Engineer @ Mad Street Den [52m] | NLP Engineer @ Yellow.ai [6m],"Owned the ranking layer for an e-commerce search product, evolving it from a hand-tuned scoring function to a learning-to-rank model over 9 months. Designed the relevance labeling pipeline (mix of click-through data and explicit human judgments), the feature pipeline, and the training/eval workflow. Most of the work was infrastructure and data quality — the modeling part was almost the easy bit. Final model improved ","FAISS(advanced,38m); Milvus(expert,76m); QLoRA(advanced,19m); Semantic Search(expert,93m); Weaviate(advanced,18m); Information Retrieval(advanced,55m); Qdrant(advanced,18m)","Recommendation Systems Engineer at CRED with 8.0 years of experience: Profile-text evidence in Retrieval Systems: 'OpenAI embeddings, storing in Pinecone) and the answer-generation layer (init...'. Also demonstrates capabilities in Vector Search Infrastructure."
13,CAND_0037980,61.549504,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Senior Applied Scientist,Niramai,9.0,"Kolkata, West Bengal",True,2026-03-28,0.63,0,True,30.8,65,7,61.62,60.66,0.019098533489699906,1.0,1.0,2.0,3.0,1.5,1.0,1.0,1.0,0.5,0.5,0.8533,False,False,False,0.0,False,*Senior Applied Scientist @ Niramai [38m] | Senior ML Engineer — Search & Ranking @ Verloop.io [38m] | Senior ML Engineer — Search & Ranking @ Salesforce [31m],"Designed the ranking layer for the company's flagship product: how do we surface the right thing at the right time, across millions of items, for millions of users. The hard problem was rarely the modeling — it was the data pipeline that fed the models, the evaluation framework that told us whether they worked, and the operational discipline of keeping all of it healthy in production. I owned all three across roughly","LoRA(expert,75m); Search Infrastructure(expert,48m); PyTorch(expert,63m); BM25(expert,92m); QLoRA(advanced,28m); pgvector(expert,58m); Information Retrieval Systems(expert,47m); Recommendation Systems(advanced,30m)","Senior Applied Scientist at Niramai with 9.0 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'oughly 14 months. Shipped the personalization infrastructure: the system that...'. Also demonstrates capabilities in Evaluation Metrics. Note: Located in Kolkata, West Bengal, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
14,CAND_0028793,60.224235,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Search Engineer,Google,7.2,"Trivandrum, Kerala",True,2026-04-13,0.57,120,True,83.1,43,19,71.93,78.26,0.04192926930030422,2.5,2.5,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.6889,False,False,False,0.0,False,*Search Engineer @ Google [32m] | Senior Data Scientist @ Amazon [40m] | Machine Learning Engineer @ Meesho [13m],"Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Designed the query expansion module that handles vocabulary mismatch between user queries and document terms. Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, valid","Embeddings(expert,78m); LoRA(expert,92m); Information Retrieval(expert,36m); QLoRA(expert,43m); PyTorch(advanced,22m); pgvector(advanced,52m)","Search Engineer at Google with 7.2 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems. Note: Located in Trivandrum, Kerala, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
15,CAND_0030468,60.049291,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Senior Applied Scientist,Swiggy,5.4,"Indore, Madhya Pradesh",True,2026-05-03,0.78,45,True,45.0,17,13,72.28,52.8,0.015097439028611877,3.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,False,False,False,0.0,False,*Senior Applied Scientist @ Swiggy [14m] | Senior Applied Scientist @ CRED [18m] | Senior Machine Learning Engineer @ Wysa [32m],"Led the engineering team building infrastructure to surface relevant content to users at scale. The system processed billions of documents and served millions of queries with low latency. Most of the technical effort went into the boring-but-essential parts: index refresh, query understanding, ranking calibration, and the dashboards that made the system's behavior legible to product and business teams. I had a small ","Information Retrieval Systems(advanced,24m); Search & Discovery(expert,45m); Ranking Systems(expert,72m); OpenSearch(expert,95m); Milvus(expert,85m); Recommendation Systems(expert,79m)","Senior Applied Scientist at Swiggy with 5.4 years of experience: Strong evidence in Retrieval Systems, specifically: 'sential parts: index refresh, query understanding, ranking calibration, and t...'. Also demonstrates capabilities in Learning-to-Rank and Reranking. Note: Located in Indore, Madhya Pradesh, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
16,CAND_0005649,59.657391,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Senior Data Scientist,Sarvam AI,7.4,"Delhi, Delhi",True,2026-04-14,0.57,90,True,80.7,26,5,69.65,67.98,0.03158656247620472,2.0,2.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.6444,False,False,False,0.0,False,*Senior Data Scientist @ Sarvam AI [18m] | Recommendation Systems Engineer @ Aganitha [12m] | Senior Data Scientist @ Amazon [42m] | Search Engineer @ Glance [16m],"Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Designed the query expansion module that handles vocabulary mismatch between user queries and document terms. Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, valid","Fine-tuning LLMs(expert,63m); Recommendation Systems(expert,89m); QLoRA(advanced,39m); Semantic Search(expert,51m); Weaviate(expert,74m); RAG(advanced,24m); Information Retrieval(expert,46m)","Senior Data Scientist at Sarvam AI with 7.4 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Retrieval Systems."
17,CAND_0058575,59.638076,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,AI Engineer,Krutrim,5.8,"Chennai, Tamil Nadu",True,2026-04-05,0.69,90,True,34.9,47,8,63.78,82.7,0.019754679871642655,2.0,2.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.5556,False,False,False,0.0,False,*AI Engineer @ Krutrim [24m] | Search Engineer @ Aganitha [15m] | Search Engineer @ Uber [30m],"Developed a semantic search feature for an internal knowledge base of ~500K documents. Used sentence-transformers (all-MiniLM-L6-v2 initially, later upgraded to bge-base) with FAISS for fast nearest-neighbor retrieval. Designed the query expansion module that handles vocabulary mismatch between user queries and document terms. Reported search-relevance improvement of 35% over the prior Elasticsearch BM25 setup, valid","Recommendation Systems(expert,80m); Pinecone(expert,84m); PyTorch(expert,82m)","AI Engineer at Krutrim with 5.8 years of experience: Profile-text evidence in Retrieval Systems: 'over the prior Elasticsearch BM25 setup, validated through human relevance ju...'. Also demonstrates capabilities in Vector Search Infrastructure. Note: Located in Chennai, Tamil Nadu, outside the JD's preferred cities (Pune/Noida/Delhi NCR/Hyderabad/Mumbai)."
18,CAND_0006567,59.598491,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Senior AI Engineer,Meta,7.9,"Noida, Uttar Pradesh",True,2026-05-03,0.79,60,True,35.2,76,0,54.84,87.41,0.028714975468366558,1.0,0.0,2.0,3.0,0.0,1.5,1.0,1.0,0.5,0.5,0.8533,False,False,False,0.0,False,*Senior AI Engineer @ Meta [26m] | Senior Applied Scientist @ Razorpay [49m] | Senior ML Engineer — Search & Ranking @ Glance [19m],"Built systems that understand what users are looking for and connect them to the most relevant matches across a large dataset. Worked at the intersection of infrastructure, algorithms, and product judgment — none of the three were optional. Recent project was a complete overhaul of the matching layer; took it from a hand-tuned heuristic system to one with explicit modeling and evaluation. The team grew from just me t","Search Backend(advanced,31m); Vector Representations(advanced,46m); BM25(expert,80m); Python(expert,68m); Ranking Systems(advanced,60m); Search & Discovery(advanced,42m); Recommendation Systems(advanced,26m)","Senior AI Engineer at Meta with 7.9 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'the hardest part. Shipped the personalization infrastructure: the system that...'. Also demonstrates capabilities in Evaluation Metrics."
19,CAND_0039383,58.806283,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Applied ML Engineer,Meesho,7.1,"Gurgaon, Haryana",True,2026-03-19,0.61,90,True,86.4,34,18,66.69,45.1,0.024936727512557065,2.0,2.0,0.0,3.0,1.0,2.5,1.0,1.0,1.0,1.0,0.6444,False,False,False,0.0,False,*Applied ML Engineer @ Meesho [34m] | Machine Learning Engineer @ Swiggy [13m] | NLP Engineer @ Paytm [37m],"Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item engagement history. Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Worked closely with PMs to define the optimization target (click-through vs. dwell","FAISS(expert,67m); Recommendation Systems(advanced,24m); QLoRA(expert,71m); LoRA(advanced,35m); Vector Search(expert,53m); Elasticsearch(expert,48m); pgvector(expert,94m)","Applied ML Engineer at Meesho with 7.1 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Python Engineering."
20,CAND_0000031,57.54847,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,Recommendation Systems Engineer,Swiggy,6.0,"Hyderabad, Telangana",True,2026-05-24,0.91,60,True,32.6,13,2,61.89,59.86,0.04960904846398323,1.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.8533,False,False,False,0.0,False,*Recommendation Systems Engineer @ Swiggy [14m] | Search Engineer @ Mad Street Den [16m] | NLP Engineer @ Uber [27m] | Applied ML Engineer @ Zomato [13m],"Trained and shipped multiple ranking models for our product's discovery feed using XGBoost and LightGBM. Designed features across three families: content metadata, user behavior signals, and item engagement history. Owned the offline-online correlation analysis that determined which offline metrics actually predicted A/B test outcomes. Worked closely with PMs to define the optimization target (click-through vs. dwell","FAISS(advanced,35m); Pinecone(expert,88m); Embeddings(expert,60m); Information Retrieval(expert,84m)","Recommendation Systems Engineer at Swiggy with 6.0 years of experience: Strong evidence in Learning-to-Rank and Reranking, specifically: 'Trained and shipped multiple ranking models for our product's discovery feed ...'. Also demonstrates capabilities in Evaluation Metrics."
21,CAND_0064904,56.697194,Tier 3 / Relevant,relevant search/ranking/RAG profile but weaker eval/depth/currentness/logistics,AI Engineer,LinkedIn,4.9,"Hyderabad, Telangana",True,2026-03-17,0.78,90,False,59.0,39,20,63.28,78.75,0.027067766347511076,2.5,2.5,0.0,2.0,0.0,1.0,1.0,1.0,0.5,0.5,0.6444,False,False,False,0.0,False,*AI Engineer @ LinkedIn [27m] | Applied ML Engineer @ Freshworks [31m],"Built and operated production ML pipelines using MLflow for experiment tracking, Kubeflow for orchestration, and our internal feature store. My main project was a churn prediction model that's now used by the customer success team to prioritize outreach. Designed the model monitoring stack: data drift detection, prediction distribution checks, and alerting. Mentored a junior engineer through their first end-to-end ML","Embeddings(expert,74m); Elasticsearch(expert,71m); LLMs(expert,63m); Python(expert,52m); Weaviate(advanced,33m); Vector Search(advanced,54m); Recommendation Systems(advanced,39m); OpenSearch(advanced,21m)",AI Engineer at LinkedIn with 4.9 years of experience: Profile-text evidence in Retrieval Systems: 'ity (via sentence-transformer embeddings) for cold starts and a gradient-boos...'. Also demonstrates capabilities in Vector Search Infrastructure.
